2026-03-15 16:07:58,965 | INFO     | climashield.system             | ClimaShield v0.3.0 starting up
2026-03-15 16:09:03,271 | INFO     | climashield.simulator          | [SIM] Simulating rainfall in Mumbai: {'city': 'Mumbai', 'rain_mm': 45.0, 'temperature': 28.0, 'humidity': 95, 'source': 'simulator', 'timestamp': '2026-03-15T10:39:03.271935Z'}
2026-03-15 16:09:03,272 | INFO     | climashield.simulation         | Simulating rainfall in Mumbai
2026-03-15 16:09:03,272 | INFO     | climashield.oracle_validator   | [VALIDATOR] Mumbai: valid=False, confidence=0.8
2026-03-15 16:09:03,273 | INFO     | climashield.lazai              | [LAZAI] Stored event: oracle_20260315_103903_mumbai_rainfall
2026-03-15 16:09:03,273 | INFO     | climashield.payout             | [PAYOUT] Processing payout for claim CLM-SIM-C3E081: 500.0 USDC
2026-03-15 16:09:03,274 | INFO     | climashield.simulation_claim   | SIM claim: CS1001 → 0 USDC
2026-03-15 16:09:03,274 | INFO     | climashield.oracle_validator   | [VALIDATOR] Mumbai: valid=False, confidence=0.8
2026-03-15 16:09:03,274 | INFO     | climashield.lazai              | [LAZAI] Stored event: oracle_20260315_103903_mumbai_rainfall
2026-03-15 16:09:03,274 | INFO     | climashield.payout             | [PAYOUT] Processing payout for claim CLM-SIM-144DE1: 500.0 USDC
2026-03-15 16:09:03,274 | INFO     | climashield.simulation_claim   | SIM claim: CS1002 → 0 USDC
2026-03-15 16:09:03,274 | INFO     | climashield.oracle_validator   | [VALIDATOR] Mumbai: valid=False, confidence=0.8
2026-03-15 16:09:03,275 | INFO     | climashield.lazai              | [LAZAI] Stored event: oracle_20260315_103903_mumbai_rainfall
2026-03-15 16:09:03,275 | INFO     | climashield.payout             | [PAYOUT] Processing payout for claim CLM-SIM-ABAA10: 500.0 USDC
2026-03-15 16:09:03,275 | INFO     | climashield.simulation_claim   | SIM claim: CS1006 → 0 USDC
2026-03-15 16:09:29,041 | INFO     | httpx                          | HTTP Request: GET https://api.openweathermap.org/data/2.5/weather?q=TestCity&appid=fe37b4385151e85658161f4c1351e6e7&units=metric "HTTP/1.1 404 Not Found"
2026-03-15 16:09:29,045 | WARNING  | climashield.weather            | [API ERROR] OpenWeatherMap returned 404 for TestCity: {"cod":"404","message":"city not found"} – falling back to mock data
2026-03-15 16:09:29,046 | INFO     | climashield.risk_agent         | [RISK] TestCity/rainfall: score=0.29, level=low
2026-03-15 16:09:29,050 | INFO     | climashield.policy_create      | Policy CS1008 created for TestCity
2026-03-15 16:09:29,225 | WARNING  | climashield.x402               | [x402] API call failed: [Errno 8] nodename nor servname provided, or not known. Using simulation.
2026-03-15 16:09:29,248 | WARNING  | climashield.x402               | [x402] Verify failed: [Errno 8] nodename nor servname provided, or not known. Simulating.
2026-03-15 16:09:29,249 | INFO     | climashield.treasury           | [TREASURY] Deposit: +42.0 USDC from CS1008 (total: 42.0)
2026-03-15 16:09:29,249 | INFO     | climashield.premium_payment    | Premium collected: 42.0 USDC for CS1008
2026-03-15 16:09:29,290 | INFO     | climashield.simulator          | [SIM] Simulating rainfall in TestCity: {'city': 'TestCity', 'rain_mm': 50.0, 'temperature': 28.0, 'humidity': 95, 'source': 'simulator', 'timestamp': '2026-03-15T10:39:29.290123Z'}
2026-03-15 16:09:29,290 | INFO     | climashield.simulation         | Simulating rainfall in TestCity
2026-03-15 16:09:29,290 | INFO     | climashield.oracle_validator   | [VALIDATOR] TestCity: valid=False, confidence=0.8
2026-03-15 16:09:29,293 | INFO     | climashield.lazai              | [LAZAI] Stored event: oracle_20260315_103929_testcity_rainfall
2026-03-15 16:09:29,294 | INFO     | climashield.payout             | [PAYOUT] Processing payout for claim CLM-SIM-BBF6BD: 10.0 USDC
2026-03-15 16:09:29,294 | INFO     | climashield.treasury           | [TREASURY] Reserved 10.0 USDC for claim CLM-SIM-BBF6BD
2026-03-15 16:09:29,294 | INFO     | climashield.goat_wallet        | [GOAT] Transaction sent: 0xf0ec058788322c5f... → 0x00000000... for 10.0 USDC
